feature,importance
cat__Surname_Hao,0.00025530254361570096
cat__Surname_Parkes,0.000254949076793563
cat__Surname_Dellucci,0.00025469618520086593
cat__Surname_Mackenzie,0.0002544006537011139
cat__Surname_Fiorentini,0.0002539540965020827
cat__Surname_Taverner,0.00025378300639522684
cat__Surname_Ugorji,0.00025351834646708624
cat__Surname_Ikechukwu,0.00025323527852950755
cat__Surname_Lees,0.00025247513806130484
cat__Surname_Banks,0.0002513603400840994
cat__Surname_Yuan,0.00025120967529908495
cat__Surname_Moss,0.0002502631299464621
cat__Surname_Zetticci,0.00024914987133493313
cat__Surname_Abramov,0.0002489239215921231
cat__Surname_Mancini,0.0002488741504379832
cat__Surname_Whitworth,0.0002486707147873503
cat__Surname_Burrows,0.0002477736875655333
cat__Surname_Oluchukwu,0.00024650264546951785
cat__Surname_Byrne,0.00024640679229756876
cat__Surname_Olsen,0.00024639619762751084
cat__Surname_Hay,0.00024505399122786125
cat__Surname_Hill,0.0002445897219762687
cat__Surname_Rocher,0.000244360568433943
cat__Surname_Connolly,0.00024434865568504703
cat__Surname_Rizzo,0.0002429428346563624
cat__Surname_Samoylova,0.00024277272027931708
cat__Surname_Chijindum,0.00024218361349096764
cat__Surname_Gardner,0.00024078303508677626
cat__Surname_Coates,0.00024064763902634847
cat__Surname_Sims,0.00023987866772870155
cat__Surname_Tung,0.0002397752684305846
cat__Surname_Obioma,0.00023959387678027208
cat__Surname_Fedorova,0.000239038323062075
cat__Surname_Kovaleva,0.00023892243704176573
cat__Surname_Cross,0.00023851115285704205
cat__Surname_Yefimova,0.0002383357180520324
cat__Surname_Norris,0.0002380412916349714
cat__Surname_Fletcher,0.00023756277431434712
cat__Surname_Ngozichukwuka,0.00023720349465499837
cat__Surname_Elliott,0.00023719837199309113
cat__Surname_Onyekaozulu,0.00023695509047222702
cat__Surname_Gant,0.00023642354574957198
cat__Surname_Ifeatu,0.00023476012171169919
cat__Surname_Chin,0.0002341483300809823
cat__Surname_Hancock,0.00023391162843843262
